year,month,nationality,job_type,count
2020,3,菲律賓,製造,66
2020,3,泰國,製造,51
2020,3,越南,製造,657
2020,4,印尼,製造,161
2020,4,菲律賓,製造,66
2020,4,泰國,製造,52
2020,4,越南,製造,659
2020,5,印尼,製造,160
2020,5,菲律賓,製造,66
2020,5,泰國,製造,52
2020,5,越南,製造,651
2020,6,印尼,製造,161
2020,6,菲律賓,製造,66
2020,6,泰國,製造,50
2020,6,越南,製造,659
2020,7,印尼,製造,164
2020,7,菲律賓,製造,65
2020,7,泰國,製造,50
2020,7,越南,製造,657
2020,8,印尼,製造,163
2020,8,菲律賓,製造,66
2020,8,泰國,製造,49
2020,8,越南,製造,656
2020,9,印尼,製造,162
2020,9,菲律賓,製造,65
2020,9,泰國,製造,49
2020,9,越南,製造,650
2020,10,印尼,製造,161
2020,10,菲律賓,製造,65
2020,10,泰國,製造,48
2020,10,越南,製造,644
2020,11,印尼,製造,162
2020,11,菲律賓,製造,64
2020,11,泰國,製造,48
2020,11,越南,製造,652
2020,12,印尼,製造,162
2020,12,菲律賓,製造,63
2020,12,泰國,製造,47
2020,12,越南,製造,657
2021,1,印尼,製造,161
2021,1,菲律賓,製造,62
2021,1,泰國,製造,47
2021,1,越南,製造,666
2021,2,印尼,製造,161
2021,2,菲律賓,製造,62
2021,2,泰國,製造,46
2021,2,越南,製造,660
2021,3,印尼,製造,154
2021,3,菲律賓,製造,62
2021,3,泰國,製造,46
2021,3,越南,製造,649
2021,4,印尼,製造,154
2021,4,菲律賓,製造,60
2021,4,泰國,製造,47
2021,4,越南,製造,665
2021,5,印尼,製造,150
2021,5,菲律賓,製造,59
2021,5,泰國,製造,46
2021,5,越南,製造,668
2021,6,印尼,製造,152
2021,6,菲律賓,製造,60
2021,6,泰國,製造,46
2021,6,越南,製造,659
2021,7,印尼,製造,152
2021,7,菲律賓,製造,58
2021,7,泰國,製造,44
2021,7,越南,製造,649
2021,8,印尼,製造,150
2021,8,菲律賓,製造,58
2021,8,泰國,製造,44
2021,8,越南,製造,641
2021,9,印尼,製造,146
2021,9,菲律賓,製造,58
2021,9,泰國,製造,43
2021,9,越南,製造,628
2021,10,印尼,製造,142
2021,10,菲律賓,製造,56
2021,10,泰國,製造,42
2021,10,越南,製造,611
2021,11,印尼,製造,135
2021,11,菲律賓,製造,56
2021,11,泰國,製造,42
2021,11,越南,製造,595
2021,12,印尼,製造,133
2021,12,菲律賓,製造,54
