"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"108年 1月底","臺北市/ 菲律賓",10,111,－,5975,248
"108年 1月底","臺北市/ 泰國",－,66,766,58,6
"108年 1月底","臺北市/ 越南",7,728,263,1817,2
"108年 1月底","臺北市/ 蒙古",－,－,－,－,－
"108年 1月底","臺北市/ 其他",－,－,－,－,－
"108年 2月底","臺北市/ 印尼",68,194,142,29021,287
"108年 2月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 2月底","臺北市/ 菲律賓",10,109,－,5938,243
"108年 2月底","臺北市/ 泰國",－,64,833,57,7
"108年 2月底","臺北市/ 越南",7,728,265,1790,4
"108年 2月底","臺北市/ 蒙古",－,－,－,－,－
"108年 2月底","臺北市/ 其他",－,－,－,－,1
"108年 3月底","臺北市/ 印尼",76,198,142,29110,289
"108年 3月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 3月底","臺北市/ 菲律賓",10,109,－,5967,234
"108年 3月底","臺北市/ 泰國",－,67,869,54,7
"108年 3月底","臺北市/ 越南",7,731,292,1753,2
"108年 3月底","臺北市/ 蒙古",－,－,－,－,－
"108年 3月底","臺北市/ 其他",－,－,－,－,1
"108年 4月底","臺北市/ 印尼",67,200,141,29138,282
"108年 4月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 4月底","臺北市/ 菲律賓",10,106,－,5958,238
"108年 4月底","臺北市/ 泰國",－,67,839,55,6
"108年 4月底","臺北市/ 越南",7,727,323,1738,3
"108年 4月底","臺北市/ 蒙古",－,－,－,－,－
"108年 4月底","臺北市/ 其他",－,－,－,－,1
"108年 5月底","臺北市/ 印尼",65,209,141,28784,277
"108年 5月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 5月底","臺北市/ 菲律賓",9,104,－,5918,232
"108年 5月底","臺北市/ 泰國",－,69,835,53,6
"108年 5月底","臺北市/ 越南",7,737,350,1726,3
"108年 5月底","臺北市/ 蒙古",－,－,－,－,－
"108年 5月底","臺北市/ 其他",－,－,－,－,1
"108年 6月底","臺北市/ 印尼",64,220,139,28820,278
"108年 6月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 6月底","臺北市/ 菲律賓",9,104,－,5919,232
"108年 6月底","臺北市/ 泰國",－,72,877,57,6
"108年 6月底","臺北市/ 越南",7,743,350,1740,3
"108年 6月底","臺北市/ 蒙古",－,－,－,－,－
"108年 6月底","臺北市/ 其他",－,－,－,－,1
"108年 7月底","臺北市/ 印尼",66,222,139,28917,278
"108年 7月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 7月底","臺北市/ 菲律賓",9,101,－,5972,224
"108年 7月底","臺北市/ 泰國",－,71,920,55,6
"108年 7月底","臺北市/ 越南",5,738,331,1722,3
"108年 7月底","臺北市/ 蒙古",－,－,－,－,－
"108年 7月底","臺北市/ 其他",－,－,－,－,1
"108年 8月底","臺北市/ 印尼",78,221,138,28946,275
"108年 8月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 8月底","臺北市/ 菲律賓",9,101,－,5996,226
"108年 8月底","臺北市/ 泰國",－,71,1028,55,6
"108年 8月底","臺北市/ 越南",6,722,325,1716,3
"108年 8月底","臺北市/ 蒙古",－,－,－,－,－
"108年 8月底","臺北市/ 其他",－,－,－,－,1
"108年 9月底","臺北市/ 印尼",76,221,163,29100,272
"108年 9月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 9月底","臺北市/ 菲律賓",10,65,－,6035,224
"108年 9月底","臺北市/ 泰國",－,52,1115,55,6
