機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目
同仁康拓長照社團法人附設新北市私立土城永寧社區長照機構,2R0200029,2,新北市,土城區,新北市土城區中央路三段130之5號、6號2樓,121.434425354,24.9659328461,B,日間照顧服務;喘息服務
同仁物理治療所,B40200001,B4,新北市,土城區,新北市土城區埤林里中央路四段127號,121.416305542,24.9575424194,B,專業照護服務;專業照護服務(CC01)
同仁醫院附設土城護理之家,A30200016,A3,新北市,土城區,新北市土城區中央路四段127號1至8樓、2樓之1至8樓之1,121.416305542,24.9575424194,B,喘息服務;日間照顧服務
同佳有限公司附設新北市私立同佳居家長照機構,1V0200060,1,新北市,板橋區,新北市板橋區文化路一段285巷69號1樓,121.4677352905,25.0076694489,A,個案管理服務
同佳有限公司附設新北市私立同佳居家長照機構,1V0200060,1,新北市,板橋區,新北市板橋區文化路一段285巷69號1樓,121.4677352905,25.0076694489,B,居家服務;喘息服務
向安物理治療所,B40200019,B4,新北市,中和區,新北市中和區民享街44巷1號,121.4737701416,25.0026283264,B,專業照護服務(CC01);專業照護服務
和安長照社團法人附設新北市私立和安住宿長照機構,3L0200004,3,新北市,三重區,新北市三重區溪尾街35號,121.4913635254,25.0757484436,B,喘息服務
和敬健康股份有限公司附設新北市私立和敬居家長照機構,1V0200078,1,新北市,板橋區,新北市板橋區中山路一段293-1號7樓之1(705室),121.4706420898,25.0144062042,B,居家服務;喘息服務
和芸居家有限公司附設新北市私立和芸居家長照機構,1V0200124,1,新北市,汐止區,新北市汐止區新台五路一段95號20樓之6  (辦公室編號:XZ2-C1),121.6479644775,25.0616207123,B,喘息服務;居家服務
和鄰居家護理所,B10200019,B1,新北市,鶯歌區,新北市鶯歌區文化路235號1樓,121.3539428711,24.9531135559,B,居家失能個案家庭醫師照護服務
和鄰長照股份有限公司附設新北市私立和鄰居家長照機構,1V0200027,1,新北市,鶯歌區,新北市鶯歌區國慶街172號2樓,121.353843689,24.9532337189,A,個案管理服務
和鄰長照股份有限公司附設新北市私立和鄰居家長照機構,1V0200027,1,新北市,鶯歌區,新北市鶯歌區國慶街172號2樓,121.353843689,24.9532337189,B,專業照護服務;喘息服務;專業照護服務(CC01);居家服務
和鄰長照股份有限公司附設新北市私立和鄰居家長照機構-新店中正據點(醫事C),1V0200048,1,新北市,新店區,新北市新店區中正里華中街42號1樓,121.353843689,24.9532337189,B,喘息服務
和鄰長照股份有限公司附設新北市私立和鄰居家長照機構-新店中正據點(醫事C),1V0200048,1,新北市,新店區,新北市新店區中正里華中街42號1樓,121.353843689,24.9532337189,C,巷弄長照站
和鄰長照股份有限公司附設新北市私立和鄰居家長照機構-樹林樹西據點(醫事C),1X0200025,1,新北市,樹林區,新北市樹林區樹西里啟智街72號1樓,121.4199829102,24.9921760559,B,喘息服務
和鄰長照股份有限公司附設新北市私立和鄰居家長照機構-樹林樹西據點(醫事C),1X0200025,1,新北市,樹林區,新北市樹林區樹西里啟智街72號1樓,121.4199829102,24.9921760559,C,巷弄長照站
和鄰長照股份有限公司附設新北市私立和鄰居家長照機構-鶯歌東鶯據點(醫事C),1X0200079,1,新北市,鶯歌區,新北市鶯歌區東鶯里文化路235號1樓,121.356590271,24.9547843933,B,喘息服務
和鄰長照股份有限公司附設新北市私立和鄰居家長照機構-鶯歌東鶯據點(醫事C),1X0200079,1,新北市,鶯歌區,新北市鶯歌區東鶯里文化路235號1樓,121.356590271,24.9547843933,C,巷弄長照站
和鄰長照股份有限公司附設新北市私立土城和鄰社區長照機構,2R0200027,2,新北市,土城區,新北市土城區中華路一段176號、178號1樓,121.4409866333,24.9825248718,B,日間照顧服務;喘息服務
品佳居家有限公司附設新北市私立品佳居家長照機構,1R0200083,1,新北市,淡水區,新北市淡水區民權路111號3樓B06室,121.4602661133,25.137462616,B,居家服務;喘息服務
品安診所,B20200197,B2,新北市,板橋區,新北市板橋區忠孝路96號1樓,121.4618225098,25.0020141602,B,居家失能個案家庭醫師照護服務
善和居家長照有限公司附設新北市私立善和居家長照機構,1R0200028,1,新北市,板橋區,新北市板橋區雙十路二段176號4樓,121.4670028687,25.0216732025,B,居家服務;喘息服務
善興緣長期照護有限公司附設新北市私立善興緣居家長照機構,1R0200072,1,新北市,永和區,新北市永和區國中路30號1樓,121.5247268677,25.0055274963,B,居家服務;喘息服務
善誠健康事業股份有限公司附設新北市私立三重善誠居家長照機構,1R0200054,1,新北市,三重區,新北市三重區仁愛街99號1樓,121.495765686,25.0738239288,B,居家服務;喘息服務;專業照護服務
善誠健康事業股份有限公司附設新北市私立善誠居家長照機構,1V0200067,1,新北市,板橋區,新北市板橋區長江路二段142號1樓,121.4661636353,25.0317649841,B,居家服務;喘息服務
善誠健康事業股份有限公司附設新北市私立林口善誠居家長照機構,1V0200082,1,新北市,林口區,新北市林口區湖南里文化三路二段77巷29號1樓,121.3735275269,25.0804481506,B,居家服務;喘息服務
善誠健康事業股份有限公司附設新北市私立林口善誠社區長照機構,2V0200006,2,新北市,林口區,新北市林口區湖南里文化三路二段298號1樓,121.377166748,25.0834999084,B,喘息服務;日間照顧服務
